,year,country,age,species_,month,dead,gender,specie,edad
975,1990,usa,43,"Tiger shark, 3.7 m [12'] ",Oct,N,M,tiger,43.0
976,1990,usa,19,1.8 m to 2.4 m [6' to 8'] shark,Oct,N,M,unspecified,19.0
977,1990,south africa,26,5 m  [16.5'] white shark,Sep,N,M,white,26.0
978,1990,usa,49,White shark,Sep,N,M,white,49.0
979,1990,usa,44,2.5 m to 3 m [8.25' to 10']  white shark,Sep,N,M,white,44.0
980,1990,usa,22,5 m to 6 m [16.5' to 20'] white shark,Aug,N,M,white,22.0
981,1990,south africa,21,"4.5 m [14'9""] white shark",Jun,Y,F,white,21.0
982,1990,south africa,22,"5.5 m [18'] white shark, identified by witnesses & tooth marks",May,N,M,white,22.0
983,1990,south africa,23,"2.3 m [7.5'] white shark, identified by M. Smale",Apr,N,M,white,23.0
984,1990,australia,31,"Tiger shark, 3 m ",Apr,N,M,tiger,31.0
985,1989,south africa,29,White shark,Nov,Y,M,white,29.0
986,1989,australia,17,2.7 m [9'] white shark,Oct,N,M,white,17.0
987,1989,usa,12,4' shark,Oct,N,M,unspecified,12.0
988,1989,usa,49,Shark involvement suspected but not confirmed,Oct,,M,unspecified,49.0
989,1989,south africa,29,"White shark, identified by tooth pattern",Sep,N,M,white,29.0
990,1989,usa,51,150-lb shark,Sep,N,M,unspecified,51.0
991,1989,usa,38,4 m to 5 m [13' to 16.5']  white shark,Sep,N,M,white,38.0
992,1989,australia,30,Grey nurse shark,Aug,N,M,grey,30.0
993,1989,south africa,21,>3.4 m [11'] white shark,Aug,N,M,white,21.0
994,1989,australia,17,"Bronze whaler shark, 3 m [10'] ",Aug,N,M,unspecified,17.0
995,1989,south africa,34,2.5 m [8.25'] white shark,Jul,N,M,white,34.0
