,year,type,country,age,species_,month,gender,dead
340,2010.0,Unprovoked,usa,13,"Sandtiger shark, 4' to 5'",Jul,F,N
341,2010.0,Provoked,spain,9,Angel shark,Jul,M,N
342,2010.0,Provoked,usa,20,"Blue shark, 7'",Jul,M,N
343,2010.0,Unprovoked,usa,19,4' shark,Jul,M,N
344,2010.0,Unprovoked,usa,48,8' shark,Jul,M,N
345,2010.0,Unprovoked,vietnam,17,1 m shark,Jun,M,N
346,2010.0,Unprovoked,usa,18,4' shark,Jun,F,N
347,2010.0,Provoked,usa,49,"Lemon shark, 4'",May,M,N
348,2010.0,Unprovoked,vietnam,58,20 to 30kg shark,May,F,N
349,2010.0,Unprovoked,vietnam,60,20 to 30kg shark,May,F,N
350,2010.0,Unprovoked,usa,10,4' shark,May,F,N
351,2010.0,Provoked,usa,29,"Lemon shark, 6'",Apr,M,N
352,2010.0,Unprovoked,usa,68,14' shark,Apr,M,N
353,2010.0,Unprovoked,south africa,35,2 m shark,Apr,M,N
354,2010.0,Unprovoked,egypt,24,"Oceanic whitetip shark, 6'",Apr,M,N
355,2010.0,Unprovoked,reunion,34,1.5 m shark,Mar,M,N
356,2010.0,Unprovoked,australia,60,2 m shark,Feb,F,N
357,2010.0,Unprovoked,australia,46,"Wobbegong shark, 1.6m",Feb,M,N
358,2010.0,Unprovoked,australia,18,"White shark, 2.5m",Feb,M,N
359,2010.0,Invalid,guam,31,Invalid,Feb,M,
360,2010.0,Provoked,new zealand,14,1.5 m shark,Feb,F,N
361,2010.0,Unprovoked,south africa,37,White shark,Jan,M,Y
362,2009.0,Unprovoked,mozambique,27,"Zambesi shark, 2m ",Dec,M,N
363,2009.0,Unprovoked,australia,18,"Bull shark, 3m",Dec,M,N
364,2009.0,Provoked,usa,58,"Sandtiger shark, 8'",Dec,M,N
365,2009.0,Invalid,usa,49,Shark involvement not confirmed,Nov,M,
366,2009.0,Unprovoked,usa,10,6' shark,Nov,M,N
367,2009.0,Unprovoked,usa,31,Thresher shark,Nov,M,N
